Dates,TOTALDEMAND
2022-01-02 00:00:00,4603.5
2022-01-02 00:05:00,4560.85
2022-01-02 00:10:00,4563.32
2022-01-02 00:15:00,4535.66
2022-01-02 00:20:00,4477.59
2022-01-02 00:25:00,4496.68
2022-01-02 00:30:00,4472.3
2022-01-02 00:35:00,4448.97
2022-01-02 00:40:00,4440.45
2022-01-02 00:45:00,4398.09
2022-01-02 00:50:00,4402.22
2022-01-02 00:55:00,4415.53
2022-01-02 01:00:00,4367.76
2022-01-02 01:05:00,4344.76
2022-01-02 01:10:00,4333.72
2022-01-02 01:15:00,4314.13
2022-01-02 01:20:00,4246.21
2022-01-02 01:25:00,4255.8
2022-01-02 01:30:00,4198.65
2022-01-02 01:35:00,4177.17
2022-01-02 01:40:00,4147.74
2022-01-02 01:45:00,4107.77
2022-01-02 01:50:00,4105.92
2022-01-02 01:55:00,4100.93
2022-01-02 02:00:00,4109.71
2022-01-02 02:05:00,4088.31
2022-01-02 02:10:00,4115.2
2022-01-02 02:15:00,4111.79
2022-01-02 02:20:00,4099.77
2022-01-02 02:25:00,4092.45
2022-01-02 02:30:00,4098.58
2022-01-02 02:35:00,4051.85
2022-01-02 02:40:00,4047.69
2022-01-02 02:45:00,4055.91
2022-01-02 02:50:00,4052.43
2022-01-02 02:55:00,4044.4
2022-01-02 03:00:00,4061.01
2022-01-02 03:05:00,4045.55
2022-01-02 03:10:00,4054.8
2022-01-02 03:15:00,4042.36
2022-01-02 03:20:00,4049.52
2022-01-02 03:25:00,4071.16
2022-01-02 03:30:00,4022.04
2022-01-02 03:35:00,4029.01
2022-01-02 03:40:00,4005.38
2022-01-02 03:45:00,4053.16
2022-01-02 03:50:00,4060.08
2022-01-02 03:55:00,4028.82
2022-01-02 04:00:00,4048.86
2022-01-02 04:05:00,4066.93
2022-01-02 04:10:00,4039.13
2022-01-02 04:15:00,4068.04
2022-01-02 04:20:00,4072.59
2022-01-02 04:25:00,4066.27
2022-01-02 04:30:00,4050.25
2022-01-02 04:35:00,4093.35
2022-01-02 04:40:00,4053.6
2022-01-02 04:45:00,4063.73
2022-01-02 04:50:00,4083.5
2022-01-02 04:55:00,4077.95
2022-01-02 05:00:00,4114.29
2022-01-02 05:05:00,4159.09
2022-01-02 05:10:00,4154.63
2022-01-02 05:15:00,4171.25
2022-01-02 05:20:00,4129.89
2022-01-02 05:25:00,4107.06
2022-01-02 05:30:00,4101.72
2022-01-02 05:35:00,4119.75
2022-01-02 05:40:00,4097.12
2022-01-02 05:45:00,4119.03
2022-01-02 05:50:00,4097.4
2022-01-02 05:55:00,4141.39
2022-01-02 06:00:00,4130.56
2022-01-02 06:05:00,4170.49
2022-01-02 06:10:00,4177.16
2022-01-02 06:15:00,4193.46
2022-01-02 06:20:00,4204.68
2022-01-02 06:25:00,4202.11
2022-01-02 06:30:00,4177.01
2022-01-02 06:35:00,4187.79
2022-01-02 06:40:00,4183.22
2022-01-02 06:45:00,4184.81
2022-01-02 06:50:00,4121.75
2022-01-02 06:55:00,4138.17
2022-01-02 07:00:00,4157.29
2022-01-02 07:05:00,4043.88
2022-01-02 07:10:00,4073.67
2022-01-02 07:15:00,4058.52
2022-01-02 07:20:00,4087.08
2022-01-02 07:25:00,4095.25
2022-01-02 07:30:00,4049.6
2022-01-02 07:35:00,4060.48
2022-01-02 07:40:00,4080.24
2022-01-02 07:45:00,4066.65
2022-01-02 07:50:00,4065.57
2022-01-02 07:55:00,4075.53
2022-01-02 08:00:00,4111.17
2022-01-02 08:05:00,4131.04
2022-01-02 08:10:00,4113.54
2022-01-02 08:15:00,4131.26
2022-01-02 08:20:00,4133.63
2022-01-02 08:25:00,4152.15
2022-01-02 08:30:00,4169.09
2022-01-02 08:35:00,4138.53
2022-01-02 08:40:00,4120.57
2022-01-02 08:45:00,4111.27
2022-01-02 08:50:00,4089.57
2022-01-02 08:55:00,4081.23
2022-01-02 09:00:00,4073.49
2022-01-02 09:05:00,4092.05
2022-01-02 09:10:00,4070.8
2022-01-02 09:15:00,4041.2
2022-01-02 09:20:00,4072.05
